video_id,frame_id,shot_id
L21_V01,0,1
L21_V01,25,1
L21_V01,50,1
L21_V01,75,1
L21_V01,78,1
L21_V01,79,2
L21_V01,104,2
L21_V01,129,2
L21_V01,154,2
L21_V01,179,2
L21_V01,204,2
L21_V01,229,2
L21_V01,254,2
L21_V01,279,2
L21_V01,304,2
L21_V01,329,2
L21_V01,354,2
L21_V01,379,2
L21_V01,404,2
L21_V01,429,2
L21_V01,454,2
L21_V01,479,2
L21_V01,504,2
L21_V01,529,2
L21_V01,554,2
L21_V01,579,2
L21_V01,604,2
L21_V01,629,2
L21_V01,654,2
L21_V01,679,2
L21_V01,704,2
L21_V01,729,2
L21_V01,754,2
L21_V01,779,2
L21_V01,804,2
L21_V01,829,2
L21_V01,854,2
L21_V01,879,2
L21_V01,904,2
L21_V01,929,2
L21_V01,954,2
L21_V01,979,2
L21_V01,1004,2
L21_V01,1029,2
L21_V01,1054,2
L21_V01,1079,2
L21_V01,1104,2
L21_V01,1129,2
L21_V01,1154,2
L21_V01,1179,2
L21_V01,1204,2
L21_V01,1229,2
L21_V01,1254,2
L21_V01,1279,2
L21_V01,1304,2
L21_V01,1329,2
L21_V01,1354,2
L21_V01,1379,2
L21_V01,1404,2
L21_V01,1429,2
L21_V01,1454,2
L21_V01,1479,2
L21_V01,1504,2
L21_V01,1529,2
L21_V01,1554,2
L21_V01,1579,2
L21_V01,1604,2
L21_V01,1629,2
L21_V01,1654,2
L21_V01,1679,2
L21_V01,1704,2
L21_V01,1729,2
L21_V01,1754,2
L21_V01,1779,2
L21_V01,1804,2
L21_V01,1829,2
L21_V01,1854,2
L21_V01,1879,2
L21_V01,1904,2
L21_V01,1929,2
L21_V01,1954,2
L21_V01,1979,2
L21_V01,2004,2
L21_V01,2029,2
L21_V01,2054,2
L21_V01,2079,2
L21_V01,2104,2
L21_V01,2129,2
L21_V01,2154,2
L21_V01,2179,2
L21_V01,2204,2
L21_V01,2229,2
L21_V01,2254,2
L21_V01,2279,2
L21_V01,2304,2
L21_V01,2329,2
L21_V01,2354,2
L21_V01,2379,2
L21_V01,2404,2
L21_V01,2429,2
L21_V01,2454,2
L21_V01,2479,2
L21_V01,2504,2
L21_V01,2529,2
L21_V01,2539,2
L21_V01,2540,3
L21_V01,2565,3
L21_V01,2590,3
L21_V01,2615,3
L21_V01,2639,3
L21_V01,2640,4
L21_V01,2665,4
L21_V01,2690,4
L21_V01,2715,4
L21_V01,2740,4
L21_V01,2765,4
L21_V01,2790,4
L21_V01,2815,4
L21_V01,2840,4
L21_V01,2859,4
L21_V01,2860,5
L21_V01,2885,5
L21_V01,2910,5
L21_V01,2935,5
L21_V01,2960,5
L21_V01,2985,5
L21_V01,3010,5
L21_V01,3035,5
L21_V01,3060,5
L21_V01,3085,5
L21_V01,3110,5
L21_V01,3135,5
L21_V01,3160,5
L21_V01,3185,5
L21_V01,3210,5
L21_V01,3235,5
L21_V01,3260,5
L21_V01,3285,5
L21_V01,3310,5
L21_V01,3335,5
L21_V01,3360,5
L21_V01,3385,5
L21_V01,3387,5
L21_V01,3388,6
L21_V01,3413,6
L21_V01,3438,6
L21_V01,3463,6
L21_V01,3488,6
L21_V01,3513,6
L21_V01,3538,6
L21_V01,3563,6
L21_V01,3588,6
L21_V01,3613,6
L21_V01,3638,6
L21_V01,3663,6
L21_V01,3688,6
L21_V01,3713,6
L21_V01,3738,6
L21_V01,3763,6
L21_V01,3788,6
L21_V01,3813,6
L21_V01,3838,6
L21_V01,3863,6
L21_V01,3888,6
L21_V01,3894,6
L21_V01,3895,7
L21_V01,3920,7
L21_V01,3945,7
L21_V01,3964,7
L21_V01,3965,8
L21_V01,3990,8
L21_V01,4015,8
L21_V01,4030,8
L21_V01,4031,9
L21_V01,4056,9
L21_V01,4081,9
L21_V01,4095,9
L21_V01,4096,10
L21_V01,4121,10
L21_V01,4146,10
L21_V01,4160,10
L21_V01,4161,11
L21_V01,4186,11
L21_V01,4211,11
L21_V01,4218,11
L21_V01,4219,12
L21_V01,4244,12
L21_V01,4269,12
L21_V01,4275,12
L21_V01,4276,13
L21_V01,4301,13
L21_V01,4326,13
L21_V01,4351,13
L21_V01,4376,13
L21_V01,4401,13
L21_V01,4426,13
L21_V01,4451,13
L21_V01,4476,13
L21_V01,4501,13
L21_V01,4526,13
L21_V01,4551,13
L21_V01,4576,13
L21_V01,4601,13
L21_V01,4626,13
L21_V01,4651,13
L21_V01,4676,13
L21_V01,4678,13
L21_V01,4679,14
L21_V01,4704,14
L21_V01,4729,14
L21_V01,4746,14
L21_V01,4747,15
L21_V01,4772,15
L21_V01,4797,15
L21_V01,4819,15
L21_V01,4820,16
L21_V01,4845,16
L21_V01,4870,16
L21_V01,4883,16
L21_V01,4884,17
L21_V01,4909,17
L21_V01,4934,17
L21_V01,4959,17
L21_V01,4984,17
L21_V01,5009,17
L21_V01,5034,17
L21_V01,5059,17
L21_V01,5084,17
L21_V01,5109,17
L21_V01,5128,17
L21_V01,5129,18
L21_V01,5154,18
L21_V01,5179,18
L21_V01,5193,18
L21_V01,5194,19
L21_V01,5219,19
L21_V01,5244,19
L21_V01,5265,19
L21_V01,5266,20
L21_V01,5291,20
L21_V01,5316,20
L21_V01,5332,20
L21_V01,5333,21
L21_V01,5358,21
L21_V01,5383,21
L21_V01,5403,21
L21_V01,5404,22
L21_V01,5429,22
L21_V01,5454,22
L21_V01,5475,22
L21_V01,5476,23
L21_V01,5501,23
L21_V01,5526,23
L21_V01,5532,23
L21_V01,5533,24
L21_V01,5558,24
L21_V01,5583,24
L21_V01,5594,24
L21_V01,5595,25
L21_V01,5620,25
L21_V01,5645,25
L21_V01,5655,25
L21_V01,5656,26
L21_V01,5681,26
L21_V01,5705,26
L21_V01,5706,27
L21_V01,5707,27
L21_V01,5708,28
L21_V01,5733,28
L21_V01,5758,28
L21_V01,5783,28
L21_V01,5808,28
L21_V01,5833,28
L21_V01,5858,28
L21_V01,5883,28
L21_V01,5908,28
L21_V01,5933,28
L21_V01,5958,28
L21_V01,5983,28
L21_V01,6008,28
L21_V01,6033,28
L21_V01,6058,28
L21_V01,6072,28
L21_V01,6073,29
L21_V01,6098,29
L21_V01,6123,29
L21_V01,6148,29
L21_V01,6153,29
L21_V01,6154,30
L21_V01,6179,30
L21_V01,6204,30
L21_V01,6214,30
L21_V01,6215,31
L21_V01,6240,31
L21_V01,6261,31
L21_V01,6262,32
L21_V01,6287,32
L21_V01,6312,32
L21_V01,6337,32
L21_V01,6362,32
L21_V01,6387,32
L21_V01,6412,32
L21_V01,6437,32
L21_V01,6462,32
